name,date,exp_number,analyze_video,plot_trajectories,create_video,measure_pupil,crop_videos
Elias,2022-08-03,1,FALSE,FALSE,FALSE,FALSE,FALSE
FG003,2023-03-14,5,TRUE,FALSE,TRUE,FALSE,FALSE
FG003,2023-03-14,6,TRUE,FALSE,TRUE,FALSE,FALSE
FG003,2023-03-14,7,TRUE,FALSE,TRUE,FALSE,FALSE
FG004,2023-06-09,all,TRUE,FALSE,TRUE,FALSE,FALSE
FG004,2023-06-10,all,TRUE,TRUE,TRUE,TRUE,FALSE
FG004,2023-06-11,all,TRUE,TRUE,TRUE,TRUE,FALSE
FG004,2023-06-12,all,TRUE,TRUE,TRUE,TRUE,FALSE
FG005,2023-08-15,all,TRUE,FALSE,TRUE,TRUE,FALSE
FG005,2023-08-16,all,TRUE,FALSE,TRUE,FALSE,FALSE
FG005,2023-08-17,all,TRUE,FALSE,TRUE,FALSE,FALSE
FG005,2023-08-18,all,TRUE,FALSE,TRUE,TRUE,FALSE
FG005,2023-08-21,all,TRUE,FALSE,TRUE,FALSE,FALSE
FG006,2023-11-09,all,TRUE,FALSE,TRUE,TRUE,FALSE
FG006,2023-11-10,all,TRUE,FALSE,TRUE,FALSE,FALSE
FG006,2023-11-11,all,TRUE,FALSE,TRUE,FALSE,FALSE
FG006,2023-11-13,all,TRUE,FALSE,TRUE,TRUE,FALSE
FG006,2023-11-14,all,TRUE,TRUE,TRUE,TRUE,FALSE